index, img_id, is_valid, scale, proc_id, file_name, pos, angle_deg, overlap_pixels_prev, overlap_pixels_next, packet_array_count,tag, c_packet, c_track, c_imc,root_bucket, next_bucket, next, bucket_id, pkg_index, packet_id, from_proc_id, is_center,pkg_row_start, pkg_row_end, pkg_col_start, pkg_col_end, img_row_start, img_col_start, img_row_count, img_col_count 
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,29,1,9711,6,0,172,395,0,31,0,192,224,32
2235,2236,1,1,5,,0,98.6162,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9434,5,1,1851,2074,463,686,0,0,224,224
2236,2237,1,1,6,,0,97.4662,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9435,6,1,1585,1808,412,635,0,0,224,224
2237,2238,1,1,6,,0,97.8806,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9435,6,1,806,1029,223,446,0,0,224,224
2238,2239,1,1,6,,0,97.1437,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9435,6,1,2192,2415,204,427,0,0,224,224
2239,2240,1,1,5,,0,96.366,0,0,2,1792,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,1,-1,28,0,9436,5,1,1229,1452,1497,1711,0,0,224,215
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,29,1,9713,6,0,1200,1423,0,8,0,215,224,9
2240,2241,1,1,5,,0,96.2054,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9436,5,1,1529,1752,1340,1563,0,0,224,224
2241,2242,1,1,5,,0,96.3575,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9436,5,1,1244,1467,692,915,0,0,224,224
2242,2243,1,1,6,,0,95.3845,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9437,6,1,643,866,272,495,0,0,224,224
2243,2244,1,1,6,,0,95.3474,0,0,2,1792,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,0,-1,27,1,9156,5,0,2173,2396,1600,1711,0,0,224,112
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,28,0,9437,6,1,712,935,0,111,0,112,224,112
2244,2245,1,1,6,,0,90.623,0,0,3,1792,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,1,2,28,0,9440,5,1,2314,2430,1523,1711,0,0,117,189
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,1,-1,28,2,9441,6,0,0,106,1523,1711,117,0,107,189
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,29,1,9717,6,0,2156,2379,0,34,0,189,224,35
2245,2246,1,1,5,,0,91.1128,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9440,5,1,1394,1617,1026,1249,0,0,224,224
2246,2247,1,1,5,,0,90.9796,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9440,5,1,1644,1867,786,1009,0,0,224,224
2247,2248,1,1,6,,0,89.7254,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9441,6,1,1574,1797,1302,1525,0,0,224,224
2248,2249,1,1,6,,0,87.2932,0,0,2,1536,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,0,-1,27,1,9163,6,0,508,731,1674,1711,0,0,224,38
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,28,0,9443,6,1,1291,1514,0,185,0,38,224,186
2249,2250,1,1,6,,0,86.7854,0,0,3,1792,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,0,-1,27,1,9163,6,0,1475,1698,1616,1711,0,0,224,96
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,2,28,0,9443,6,1,2248,2430,0,127,0,96,183,128
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,28,2,9444,5,0,0,40,0,127,183,96,41,128
2250,2251,1,1,6,,0,87.7543,0,0,2,1792,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,0,-1,27,1,9162,5,0,2060,2283,1612,1711,0,0,224,100
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,28,0,9443,6,1,422,645,0,123,0,100,224,124
2251,2252,1,1,5,,0,83.3452,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9446,5,1,1431,1654,1203,1426,0,0,224,224
2252,2253,1,1,5,,0,83.374,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9446,5,1,1377,1600,1180,1403,0,0,224,224
2253,2254,1,1,5,,0,82.965,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9446,5,1,2146,2369,1003,1226,0,0,224,224
2254,2255,1,1,6,,0,82.803,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9447,6,1,21,244,1006,1229,0,0,224,224
