this_ptr,parent,next,prev,next_track,prev_track,track_root,count,track_count,track_node_count,status,track_id,evt.index,evt.event_id,evt.proc_id,evt.packet_id,evt.peak_adc,evt.peak_row,evt.peak_col,evt.x_encoder,evt.w_encoder,evt.radius,evt.theta,evt.x_cor,evt.y_cor,evt.x,evt.y,evt.snr,evt.ee,evt.ee_is_fitted,evt.xenc_merge_count,evt.wenc_merge_count,evt.wenc_per_um,evt.box_width,evt.box_height,evt.xenc_outer,evt.xenc_inner,evt.wenc_left,evt.wenc_right,evt.acc_flag,evt.cosmic_ray_flag,evt.saturated_flag,evt.pixel_sindex,evt.pixel_eindex
37,37,-1,-1,-1,-1,37,1,1,1,2,27,37,20,1,3920,4039,89,753,36839.875,6510,122448.1015625,-0.15603460371494293,120960.5078125,-19028.705078125,-19028.7109375,-120960.5078125,340.7283630371094,0.06667546927928925,0,250.0,69.22695922851563,0.3461347818374634,0,0,36801.375,36860.0,6505,6514,0,0,0,0,1500
38,38,-1,-1,-1,-1,38,1,1,1,2,27,38,21,1,3920,2576,323,629,36732.375,6678,122534.1015625,-0.160061314702034,120967.8046875,-19529.330078125,-19529.3359375,-120967.8046875,218.66510009765625,0.06445720791816711,0,250.0,69.17835998535156,0.3458918035030365,0,0,36703.5,36761.25,6674,6682,0,0,0,0,1500
39,39,-1,-1,-1,-1,39,1,1,1,2,27,39,22,1,3920,2813,556,490,36611.75,6846,122630.6015625,-0.16408801078796387,120983.3984375,-20032.033203125,-20032.0390625,-120983.3984375,238.30618286132813,0.09074193239212036,0,250.0,69.12393188476563,0.34561964869499207,0,0,36603.0,36660.75,6842,6850,0,0,0,0,1500
40,40,-1,-1,-1,-1,40,1,1,1,2,27,40,23,1,3920,4083,61,212,36366.5,6490,122826.796875,-0.15555523335933685,121343.7421875,-19029.390625,-19029.396484375,-121343.7421875,345.2286376953125,0.0671844407916069,0,250.0,69.01351165771484,0.34506756067276,0,0,36330.625,36389.25,6485,6494,0,0,0,0,1500
41,0,-1,0,-1,0,41,1,1,1,2,27,41,24,1,3920,4034,527,1,36182.875,6825,122973.703125,-0.1635846644639969,121331.984375,-20027.01171875,-20027.017578125,-121331.984375,341.28802490234375,0.26216936111450195,1,250.0,68.92224884033203,0.3446112275123596,0,0,36182.0,36190.75,6821,6829,0,0,0,0,1500
42,42,-1,-1,-1,-1,42,1,1,1,2,27,42,25,1,3920,4067,294,102,36271.25,6657,122903.0,-0.15955796837806702,121341.8359375,-19527.048828125,-19527.0546875,-121341.8359375,343.3815002441406,0.06692997366189957,0,250.0,68.97071838378906,0.34485360980033875,0,0,36232.75,36292.25,6653,6662,0,0,0,0,1500
43,43,-1,-1,-1,-1,43,1,1,1,2,27,43,26,1,4040,2586,2048,1419,38581.625,249531,121054.703125,-5.980871200561523,115564.875,36041.63671875,36041.6328125,-115564.875,218.22723388671875,0.09528897702693939,0,250.0,70.03289794921875,0.3501645028591156,0,0,38539.625,38590.375,249527,249535,0,0,0,0,1500
44,44,-1,-1,-1,-1,44,1,1,1,2,27,44,27,1,4040,4034,1821,1177,38369.875,249367,121224.1015625,-5.976940631866455,115583.8359375,36546.6640625,36546.66015625,-115583.8359375,342.51873779296875,0.06774310022592545,0,250.0,69.9350357055664,0.34967517852783203,0,0,38353.25,38411.875,249363,249371,0,0,0,0,1500
45,45,-1,-1,-1,-1,45,1,1,1,2,27,45,28,1,4040,2584,1616,987,38201.625,249218,121358.703125,-5.973369121551514,115580.7734375,37000.2734375,37000.26953125,-115580.7734375,218.25799560546875,0.06585536897182465,0,250.0,69.85746765136719,0.34928733110427856,0,0,38180.625,38238.375,249214,249222,0,0,0,0,1500
46,46,-1,-1,-1,-1,46,1,1,1,2,27,46,29,1,4040,2572,2345,917,38143.375,249747,121405.296875,-5.986048221588135,116085.1484375,35545.5234375,35545.51953125,-116085.1484375,217.81105041503906,0.06905810534954071,0,250.0,69.83065795898438,0.3491532802581787,0,0,38128.5,38186.25,249743,249751,0,0,0,0,1500
47,47,-1,-1,-1,-1,47,1,1,1,2,27,47,30,1,4040,2801,2118,733,37982.375,249583,121534.1015625,-5.982117652893066,116067.546875,36039.7265625,36039.72265625,-116067.546875,237.06402587890625,0.06656289845705032,0,250.0,69.75665283203125,0.3487832546234131,0,0,37944.75,38003.375,249579,249587,0,0,0,0,1500
48,48,-1,-1,-1,-1,48,1,1,1,2,27,48,31,1,4040,2776,1892,534,37807.25,249419,121674.203125,-5.97818660736084,116058.6171875,36537.78125,36537.77734375,-116058.6171875,234.78677368164063,0.08707517385482788,0,250.0,69.67633056640625,0.3483816385269165,0,0,37759.125,37816.875,249415,249423,0,0,0,0,1500
49,49,-1,-1,-1,-1,49,1,1,1,2,27,49,32,1,4040,4047,2640,482,37763.75,249961,121709.0,-5.991177558898926,116556.796875,35037.046875,35037.04296875,-116556.796875,342.77252197265625,0.11172613501548767,0,250.0,69.65641021728516,0.3482820391654968,0,0,37712.125,37770.75,249956,249965,0,0,0,0,1500
50,50,-1,-1,-1,-1,50,1,1,1,2,27,50,33,1,4040,2595,1688,317,37615.375,249271,121827.703125,-5.974639415740967,116074.53125,36995.84765625,36995.84375,-116074.53125,220.8859405517578,0.06553154438734055,0,250.0,69.58853912353516,0.34794268012046814,0,0,37586.5,37644.25,249266,249274,0,0,0,0,1500
51,51,-1,-1,-1,-1,51,1,1,1,2,27,51,34,1,4040,4043,2414,242,37552.75,249797,121877.796875,-5.987246990203857,116579.6328125,35544.13671875,35544.1328125,-116579.6328125,343.3966979980469,0.06724967807531357,0,250.0,69.5599365234375,0.347799688577652,0,0,37530.875,37590.375,249793,249801,0,0,0,0,1500
52,52,-1,-1,-1,-1,52,1,1,1,2,27,52,35,1,4040,2801,2188,27,37364.625,249633,122028.296875,-5.983315944671631,116582.796875,36046.59765625,36046.59375,-116582.796875,237.11996459960938,0.0698011964559555,0,250.0,69.46510314941406,0.34732553362846375,0,0,37349.75,37407.5,249630,249638,0,0,0,0,1500
53,53,-1,-1,-1,-1,53,1,1,1,2,27,53,17,2,4041,2749,990,1421,38589.375,250786,121048.5,-6.010951519012451,116590.609375,32547.958984375,32547.953125,-116590.609375,233.75112915039063,0.17294202744960785,0,250.0,70.03649139404297,0.350182443857193,0,0,38580.625,38596.375,250782,250790,0,0,0,0,1500
54,54,-1,-1,-1,-1,54,1,1,1,2,27,54,18,2,4041,2780,2228,1334,38517.25,251683,121106.203125,-6.032451152801514,117319.2734375,30048.29296875,30048.287109375,-117319.2734375,235.97128295898438,0.07952456921339035,0,250.0,70.00311279296875,0.3500155806541443,0,0,38505.875,38564.5,251680,251688,0,0,0,0,1500
55,55,-1,-1,-1,-1,55,1,1,1,2,27,55,19,2,4041,4053,11,1353,38525.875,250076,121099.296875,-5.993934154510498,116068.5625,34541.70703125,34541.703125,-116068.5625,341.9501037597656,0.13436992466449738,1,250.0,70.0071029663086,0.35003551840782166,0,0,38487.375,38546.0,250072,250080,0,0,0,0,1500
56,56,60,-1,-1,-1,56,2,1,2,2,27,56,20,2,4041,4047,1741,1296,38482.0,251331,121134.3984375,-6.024014472961426,117088.8515625,31044.22265625,31044.216796875,-117088.8515625,342.1318054199219,0.07628544420003891,0,250.0,69.98681640625,0.34993410110473633,0,0,38468.875,38527.5,251326,251335,0,0,0,0,1500
57,57,-1,-1,-1,-1,57,1,1,1,2,27,57,21,2,4041,2573,762,1266,38453.75,250621,121157.0,-6.0069966316223145,116565.359375,33038.390625,33038.38671875,-116565.359375,215.61709594726563,0.0676695704460144,0,250.0,69.97377014160156,0.3498688340187073,0,0,38412.625,38470.375,250617,250624,0,0,0,0,1500
58,58,-1,-1,-1,-1,58,1,1,1,2,27,58,22,2,4041,2793,1998,1170,38373.75,251517,121221.0,-6.028472423553467,117309.890625,30543.76171875,30543.755859375,-117309.890625,235.97171020507813,0.0661621019244194,0,250.0,69.93682098388672,0.34968408942222595,0,0,38351.0,38408.75,251513,251521,0,0,0,0,1500
59,59,63,-1,-1,-1,59,2,1,2,2,27,59,23,2,4041,2779,1511,1154,38357.75,251163,121233.796875,-6.0199875831604,117058.859375,31541.333984375,31541.328125,-117058.859375,235.80682373046875,0.08740437030792236,0,250.0,69.929443359375,0.3496472239494324,0,0,38308.75,38367.375,251160,251168,0,0,0,0,1500
60,56,-1,56,-1,-1,56,1,1,1,2,27,60,24,2,4041,4071,1769,986,38210.75,251351,121351.3984375,-6.02449369430542,117313.4921875,31043.619140625,31043.61328125,-117313.4921875,346.2098083496094,0.06818296015262604,0,250.0,69.8616714477539,0.3493083417415619,0,0,38191.5,38250.125,251347,251355,0,0,0,0,1500
61,61,-1,-1,-1,-1,61,1,1,1,2,27,61,25,2,4041,2791,533,1042,38256.75,250454,121314.6015625,-6.002994060516357,116583.6484375,33548.2734375,33548.26953125,-116583.6484375,237.40687561035156,0.061819590628147125,0,250.0,69.88286590576172,0.34941431879997253,0,0,38241.0,38298.75,250451,250459,0,0,0,0,1500
62,62,66,-1,-1,-1,62,2,1,2,2,27,62,26,2,4041,2575,1283,946,38174.75,250998,121380.203125,-6.016033172607422,117074.4375,32042.6328125,32042.626953125,-117074.4375,217.05506896972656,0.0650215595960617,0,250.0,69.84510040283203,0.3492254912853241,0,0,38145.875,38203.625,250994,251002,0,0,0,0,1500
63,59,-1,59,-1,-1,59,1,1,1,2,27,63,27,2,4041,4077,1540,820,38065.5,251185,121467.6015625,-6.020514965057373,117301.265625,31540.302734375,31540.296875,-117301.265625,342.2151184082031,0.06752654910087585,0,250.0,69.79483795166016,0.34897419810295105,0,0,38031.375,38090.0,251180,251189,0,0,0,0,1500
64,64,-1,-1,-1,-1,64,1,1,1,2,27,64,28,2,4041,4069,306,874,38107.75,250290,121433.796875,-5.999063491821289,116565.296875,34039.6640625,34039.66015625,-116565.296875,343.2793273925781,0.07036840170621872,0,250.0,69.81427001953125,0.34907135367393494,0,0,38065.75,38124.375,250286,250295,0,0,0,0,1500
65,65,-1,-1,-1,-1,65,1,1,1,2,27,65,29,2,4041,4036,1054,766,38016.25,250832,121507.0,-6.012053966522217,117068.1640625,32542.201171875,32542.1953125,-117068.1640625,339.266845703125,0.06729105859994888,0,250.0,69.772216796875,0.34886106848716736,0,0,37979.5,38038.125,250828,250836,0,0,0,0,1500
66,62,-1,62,-1,-1,62,1,1,1,2,27,66,30,2,4041,2771,1311,637,37904.375,251018,121596.5,-6.016512393951416,117298.4296875,32043.52734375,32043.521484375,-117298.4296875,235.98585510253906,0.06511229276657104,0,250.0,69.72085571289063,0.3486042618751526,0,0,37868.5,37926.25,251015,251022,0,0,0,0,1500
67,67,-1,-1,-1,-1,67,1,1,1,2,27,67,31,2,4041,2583,79,670,37929.25,250125,121576.6015625,-5.995108604431152,116566.6875,34540.96875,34540.96484375,-116566.6875,218.4927520751953,0.06643903255462646,0,250.0,69.73226928710938,0.348661333322525,0,0,37890.75,37949.375,250121,250129,0,0,0,0,1500
68,68,70,-1,-1,-1,68,2,1,2,2,27,68,32,2,4041,2774,826,547,37824.625,250667,121660.296875,-6.008099555969238,117086.1015625,33046.51953125,33046.515625,-117086.1015625,235.38893127441406,0.0764271542429924,0,250.0,69.68429565429688,0.34842148423194885,0,0,37812.375,37870.125,250663,250671,0,0,0,0,1500
69,69,72,-1,-1,-1,69,2,1,2,2,27,69,33,2,4041,2213,599,390,37686.25,250502,121771.0,-6.004144668579102,117060.9140625,33539.8125,33539.80859375,-117060.9140625,186.6786346435547,0.07475972175598145,0,250.0,69.62093353271484,0.34810468554496765,0,0,37641.625,37699.375,250498,250506,0,0,0,0,1500
70,68,-1,68,-1,-1,68,1,1,1,2,27,70,34,2,4041,1933,856,234,37550.75,250689,121879.3984375,-6.008626937866211,117314.40625,33044.171875,33044.16796875,-117314.40625,163.8240509033203,0.06552042812108994,0,250.0,69.55902099609375,0.3477950990200043,0,0,37535.875,37593.625,250685,250693,0,0,0,0,1500
