index,parent,next,tail,count,status,track_id,source_type,dft.defect_id,dft.event_root_index,dft.from_channel,dft.channel_defect_id,dft.related_defect_id,dft.img_id,dft.img_tag,dft.peak_adc,dft.peak_packet_id,dft.peak_row,dft.peak_col,dft.x_encoder,dft.w_encoder,dft.radius,dft.theta,dft.x_cor,dft.y_cor,dft.x,dft.y,dft.snr,dft.defect_area,dft.defect_size,dft.dsize,dft.rppm,dft.nppm,dft.um_size,dft.x_size,dft.y_size,dft.ee,dft.haze_avg,dft.defect_tag,dft.cluster_number,dft.cluster_area,dft.cluster_length,dft.confidence,dft.midlevel_bin_number,dft.rough_bin_number,dft.fine_bin_number,dft.acc_flag,dft.cosmic_ray_flag,dft.saturated_flag,dft.max_xt_fit,dft.xenc_outer,dft.xenc_inner,dft.wenc_left,dft.wenc_right
12,-1,-1,13,1,0,27,-1,13,18,1,-1,-1,13,1280,2791,3919,31,1322,37327,4462,122057.796875,-0.10694722086191177,121360.4296875,-13028.8720703125,-13028.873046875,-121360.4296875,207.92747497558594,1372.4996337890625,2791.0,37.04726028442383,2791.0,0.0,0.0,28.2216796875,48.6328125,0.066590316593647,47,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37310,37368,4458,4466
13,-1,-1,14,1,0,27,-1,14,19,1,-1,-1,14,0,4049,3919,1704,1250,37270,5665,122103.3984375,-0.13578127324581146,120979.5390625,-16528.45703125,-16528.462890625,-120979.53125,286.49761962890625,1477.119140625,4049.0,38.43330764770508,4049.0,0.0,0.0,29.583984375,49.9296875,0.06678983569145203,54,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37254,37313,5661,5669
14,-1,-1,15,1,0,27,-1,15,20,1,-1,-1,15,0,2795,3919,267,1270,37283,4632,122093.3984375,-0.11102186143398285,121341.71875,-13527.20703125,-13527.21484375,-121341.71875,225.1028594970703,1383.8377685546875,2795.0,37.19997024536133,2795.0,0.0,0.0,28.4091796875,48.7109375,0.06789995729923248,46,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37242,37300,4628,4636
15,-1,-1,16,1,0,27,-1,16,21,1,-1,-1,16,0,4059,3919,1939,1161,37193,5834,122164.8984375,-0.13983193039894104,120972.5,-17026.939453125,-17026.94140625,-120972.5,298.9441833496094,1678.802490234375,4059.0,40.97319412231445,4059.0,0.0,0.0,32.787109375,51.203125,0.06723371148109436,52,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37168,37228,5830,5839
16,-1,-1,17,1,0,27,-1,17,22,1,-1,-1,17,0,2772,3919,503,1174,37200,4801,122159.796875,-0.11507252603769302,121351.8828125,-14026.2333984375,-14026.2333984375,-121351.8828125,234.9843292236328,1395.0294189453125,2772.0,37.350093841552734,2772.0,0.0,0.0,28.59765625,48.78125,0.06511321663856506,45,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37172,37230,4798,4806
17,-1,-1,18,1,0,27,-1,18,23,1,-1,-1,18,0,2225,3919,2173,1051,37097,6003,122241.8984375,-0.1438826024532318,120978.7421875,-17527.857421875,-17527.8671875,-120978.7421875,174.17739868164063,1470.6966552734375,2225.0,38.34966278076172,2225.0,0.0,0.0,29.84765625,49.2734375,0.06471645087003708,51,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37080,37138,5999,6007
18,-1,-1,19,1,0,27,-1,19,24,1,-1,-1,19,0,4045,3919,739,1090,37127,4971,122217.796875,-0.1191471666097641,121351.3203125,-14527.474609375,-14527.482421875,-121351.3203125,342.7132263183594,1649.6417236328125,4045.0,40.615779876708984,4045.0,0.0,0.0,31.978515625,51.5859375,0.06708265095949173,46,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37097,37158,4967,4976
19,-1,-1,20,1,0,27,-1,20,25,1,-1,-1,20,0,2789,3919,974,1001,37050,5141,122279.296875,-0.12322179973125458,121352.1484375,-15029.3740234375,-15029.3740234375,-121352.1484375,236.32009887695313,1417.5751953125,2789.0,37.650699615478516,2789.0,0.0,0.0,28.9716796875,48.9296875,0.05859028175473213,46,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37024,37082,5137,5145
20,-1,-1,21,1,0,27,-1,21,26,1,-1,-1,21,0,2561,3919,2409,946,37007,6173,122313.796875,-0.1479572355747223,120977.4296875,-18031.25390625,-18031.255859375,-120977.4296875,215.15768432617188,1452.7965087890625,2561.0,38.11556625366211,2561.0,0.0,0.0,29.916015625,48.5625,0.06577417999505997,50,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36991,37048,6168,6176
21,-1,-1,22,1,0,27,-1,22,27,1,-1,-1,22,0,2603,3919,1210,907,36969,5310,122344.296875,-0.12727247178554535,121354.75,-15529.0576171875,-15529.064453125,-121354.75,220.5597686767578,1429.027587890625,2603.0,37.80248260498047,2603.0,0.0,0.0,29.1591796875,49.0078125,0.06564529240131378,46,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36946,37004,5306,5314
22,-1,-1,23,1,0,27,-1,23,28,1,-1,-1,23,0,4043,3919,2643,853,36927,6341,122378.1015625,-0.15198394656181335,120967.40625,-18527.984375,-18527.9921875,-120967.40625,339.6651916503906,1683.56591796875,4043.0,41.031280517578125,4043.0,0.0,0.0,33.240234375,50.6484375,0.0668267235159874,50,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36897,36956,6337,6346
23,-1,-1,24,1,0,27,-1,24,29,1,-1,-1,24,0,2568,3919,1445,825,36897,5480,122401.703125,-0.13134710490703583,121347.375,-16030.921875,-16030.9208984375,-121347.375,217.6283416748047,1439.8590087890625,2568.0,37.945472717285156,2568.0,0.0,0.0,29.3427734375,49.0703125,0.0650390014052391,47,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36865,36923,5475,5483
